agent_code,agent_name,agent_age,tenure_months,unique_proposal,unique_quotations,unique_customers,proposal_intensity,quotation_intensity,customer_intensity,proposal_to_quotation_ratio,customer_recency,proposal_recency,quotation_recency,is_new_agent,nill_probability,risk_segment,performance_class
AG052,Agent 52,30,1,46,66,17,4.059900935930264,0.9710382006039269,0.04577858309113625,0.132085162940616,0.7198875737475249,0.9453305197089975,0.4349420792944315,0,0.37635882570625534,Medium-Low Risk,Medium-High
AG053,Agent 53,26,42,17,42,49,4.060618288779169,1.8972672875006644,2.0600917562820555,0.39814842214550716,0.8509186362135622,0.6398508210871466,0.591964964442482,1,0.6536836422321506,Medium-High Risk,Medium-Low
AG054,Agent 54,46,11,81,54,20,0.781654326538056,2.6010203015004203,1.8264017861125907,0.27805164969272667,0.5425889386966846,0.5162864956450531,0.17931311081613366,1,0.6697453595429801,Medium-High Risk,Medium-Low
AG055,Agent 55,38,33,88,55,17,4.587991312513598,1.8032579687392962,1.570369916108496,0.44958621709574176,0.8665593536930943,0.6528452298306134,0.9750338890215569,0,0.6318298777822152,Medium-High Risk,Medium-Low
AG056,Agent 56,52,32,86,58,31,4.574014644008669,1.6334242863911306,1.747279295569316,0.3431502610570898,0.24899037902629684,0.008131550487200712,0.08767652027769957,1,0.34744526326666614,Medium-Low Risk,Medium-High
AG057,Agent 57,58,32,12,21,13,1.9136783103674737,2.028460753754396,2.156246111264151,0.9049520088167036,0.719197667246709,0.2708976139992536,0.8045975174189435,0,0.9540106258396124,High Risk,Low
AG058,Agent 58,40,50,45,66,15,0.31166710098958217,3.7743699026008444,1.5355845567684658,0.9861404000873459,0.3613954272837986,0.4627432433317351,0.5342339402565933,0,0.1850040932340966,Low Risk,High
AG059,Agent 59,40,35,54,30,48,2.7520693424924354,1.2855685041203442,2.0045222363796493,0.2973172627644074,0.8046825050642673,0.646961087406085,0.04902261577581135,1,0.20224885959176064,Low Risk,High
AG060,Agent 60,51,16,6,67,24,4.581630975563763,1.6404715905300185,0.4181075595641506,0.724089928911816,0.5497422003405802,0.7967337702546751,0.3229821616257782,0,0.05676695182956759,Low Risk,High
AG061,Agent 61,49,53,3,68,31,4.412231947655847,1.8752578467793093,0.2134836007644466,0.47325945476274756,0.9397242942480598,0.6217030486977227,0.1476522736113962,0,0.9723503168413729,High Risk,Low
AG062,Agent 62,25,15,54,35,37,1.2234175183927543,1.300286175964707,2.78132107374312,0.9809040570475116,0.9455434534457074,0.23724623771628117,0.5069421830512086,0,0.2987689738256798,Medium-Low Risk,Medium-High
AG063,Agent 63,42,50,32,58,0,4.864442905270323,1.3421219399133144,0.5548857128489493,0.029789458472773034,0.6867732242802684,0.9640939803999664,0.7609578727166637,1,0.39651575902297176,Medium-Low Risk,Medium-High
AG064,Agent 64,31,3,66,27,8,1.2888000913191944,2.21091770593577,2.333420976717173,0.7880249268546301,0.8500583624810248,0.38581093507882036,0.2641115311224965,1,0.12382744247289934,Low Risk,High
AG065,Agent 65,57,49,2,11,6,2.2492475938175827,0.3977959081936646,1.6659825033913684,0.38352803579874983,0.06393043777598173,0.8699595646998257,0.4567301281131836,0,0.12535920899959263,Low Risk,High
AG066,Agent 66,47,36,0,3,39,1.629508199321551,2.7435849378205854,1.2363790701644795,0.6063148386071716,0.7308562515935799,0.07589051175924544,0.27496089897602716,1,0.5450355895020278,Medium-High Risk,Medium-Low
AG067,Agent 67,35,42,29,56,43,1.3111807548419558,0.15114083102314568,1.608905273797244,0.0668631756364858,0.45560112442019307,0.9050962644208229,0.23319833763006714,1,0.8072951403690957,High Risk,Low
AG068,Agent 68,52,56,3,45,42,4.196497188027414,0.24523710790771647,2.161972011643518,0.10029233178308128,0.4264214920233741,0.235748015610582,0.7211728314253322,0,0.9124394673452961,High Risk,Low
AG069,Agent 69,37,9,51,37,30,3.2384115454269873,2.686069045613274,0.63181622235128,0.14532692289009885,0.0037655448381820333,0.5835706772878583,0.8646223637417223,1,0.6239994216586373,Medium-High Risk,Medium-Low
AG070,Agent 70,44,7,73,13,47,2.0617646152615206,2.0055696818469384,1.135644136947291,0.8769911926491925,0.5277645921234762,0.606334651036615,0.6410385324881865,0,0.8928907538691117,High Risk,Low
AG071,Agent 71,39,48,93,69,47,0.7895302363300954,2.924498270019764,0.04070251109963674,0.8605426072204609,0.047870112020836686,0.1506174839054698,0.07504835922451547,0,0.4113886898315482,Medium-Low Risk,Medium-High
AG072,Agent 72,57,22,72,27,17,1.7511950264692133,2.8852458002799417,2.4206023765463014,0.544084252785309,0.41070111971491385,0.7861920616814408,0.9120708243841571,0,0.9975325300701267,High Risk,Low
AG073,Agent 73,47,18,55,13,1,4.333405360981431,1.486730680741172,2.2601174829055273,0.0809523794236342,0.8507193895197095,0.5194351099133875,0.5346284417737036,0,0.8554823534242624,High Risk,Low
AG074,Agent 74,41,35,59,26,24,2.6317034546049642,1.835740887071149,2.9315621076471676,0.49470109981115473,0.39124183964499304,0.7882907970282301,0.38440478066553174,1,0.6820429657100429,Medium-High Risk,Medium-Low
AG075,Agent 75,33,57,33,15,5,1.0702014826016208,0.8223681249879142,1.1661886001470427,0.23520700518259363,0.5192980256004821,0.8768592852878787,0.04864602961414566,1,0.23714505079625525,Low Risk,High
AG076,Agent 76,25,35,37,38,15,3.889808668890891,2.1552008612956284,2.19238526509266,0.8118050512797554,0.843668275851317,0.8717816483059022,0.7594908393421631,1,0.5867829737416719,Medium-High Risk,Medium-Low
AG077,Agent 77,27,21,99,15,15,4.855939788434674,0.00444405437196016,2.709559085936046,0.41395485547028943,0.5001408467141485,0.11033453411775718,0.7218190615945499,0,0.26058424441537564,Medium-Low Risk,Medium-High
AG078,Agent 78,58,22,25,52,15,0.8951389888999106,0.6201402118777088,0.6318594131377523,0.7858339734467346,0.06821469150234771,0.1405235531966622,0.17778332554438048,1,0.8343136618610443,High Risk,Low
AG079,Agent 79,51,34,27,76,25,1.2838530250262896,0.2648242135200798,0.8904222878506756,0.3457726014727076,0.4691518666037633,0.1887746408438885,0.7361600195516641,1,0.6112226767838256,Medium-High Risk,Medium-Low
AG080,Agent 80,44,58,49,58,28,3.288553567741462,2.1785894492472364,0.4267424338702622,0.8751701437911876,0.5668833927981689,0.3193097380725509,0.025314490965275827,0,0.5851113665957824,Medium-High Risk,Medium-Low
AG081,Agent 81,45,51,96,67,29,3.844543189058294,1.4108260814454372,2.438988263474371,0.6791871031996197,0.6848575172161326,0.633750591426672,0.9777313175987749,1,0.1719483155723448,Low Risk,High
AG082,Agent 82,27,17,39,10,43,1.9900875330696266,0.37364121130852634,0.11003003369456921,0.015032139020834223,0.538268663646558,0.2680807346193146,0.9001108026046101,1,0.7870952926083976,High Risk,Low
AG083,Agent 83,52,58,76,44,20,4.915182110796225,2.524395088772871,0.5739197847109233,0.6827280558474549,0.7745227821182256,0.3411014061486133,0.32214820205144634,1,0.12659976382572757,Low Risk,High
AG084,Agent 84,48,2,61,15,33,4.9779770631592815,3.1346787067702535,1.667562976336003,0.04047460472808517,0.21315855153891872,0.18067787839377425,0.726597550731783,0,0.15790449511538807,Low Risk,High
AG085,Agent 85,57,13,86,51,2,2.8409150712869797,1.5156645885886784,0.3595405777033275,0.5324608923004006,0.6537013542624108,0.8641335897727198,0.0859584050444111,0,0.7692673213330966,High Risk,Low
AG086,Agent 86,39,39,76,32,4,0.9871770960653176,3.459644938049868,0.21282090874087756,0.15487216494126232,0.7074569139056532,0.6901596520622073,0.7055127727276876,1,0.8482854519227964,High Risk,Low
AG087,Agent 87,29,57,34,46,48,2.2346633021511146,2.3213871177537793,0.6887315474115622,0.2304084350964689,0.0060327236214320346,0.3504192722249997,0.8108985105395545,1,0.9496329426012559,High Risk,Low
AG088,Agent 88,27,19,77,7,39,0.23354096747317254,1.3144517315380004,0.4822587211440038,0.18050472988134592,0.8415994423637163,0.9098830623589325,0.30262724371170124,1,0.8845736297454225,High Risk,Low
AG089,Agent 89,51,52,71,68,2,3.304329443841047,2.3989622122570258,0.10384943315976514,0.04507684522926414,0.6464934615014332,0.9855967611651006,0.888854215480341,0,0.8697640444811351,High Risk,Low
AG090,Agent 90,59,15,61,40,17,2.285597875144694,0.20739279905597785,0.6732503835836626,0.38607664963350574,0.19633473444016303,0.47824328113766323,0.44240347647930567,1,0.6544434676268216,Medium-High Risk,Medium-Low
AG091,Agent 91,49,41,58,12,29,3.3414739959106337,3.347277058538948,2.6187717712738685,0.01580417633714737,0.7015484066478875,0.5321252312121707,0.8389233630092733,0,0.7927866648665772,High Risk,Low
AG092,Agent 92,48,42,91,18,42,0.8219819024658115,0.08586020582648457,2.334318031024556,0.7229258988744113,0.7026124074761237,0.06333922973296757,0.7788995128318659,0,0.7225136347900137,Medium-High Risk,Medium-Low
AG093,Agent 93,37,4,21,16,43,4.715845014158023,0.6130107606259965,2.525011276787679,0.5903884714626088,0.02588790781231365,0.9289937758276547,0.5066647772801283,1,0.8901703711987882,High Risk,Low
AG094,Agent 94,49,52,14,77,20,2.575190252083454,0.045401339182299605,0.6075900629423276,0.600622027067109,0.579793671186971,0.16661099511547883,0.5004814476321398,0,0.7261042175039635,Medium-High Risk,Medium-Low
AG095,Agent 95,37,34,15,49,13,4.011077791682101,3.1475660599988284,0.7841561710662539,0.9975628248052106,0.12485577175392881,0.07139308363089858,0.6035517948263043,1,0.2747161638921113,Medium-Low Risk,Medium-High
AG096,Agent 96,32,46,64,77,40,3.3166552340375315,0.9198350662913346,0.798390764399034,0.640226362740017,0.5822254002255166,0.9431465437251858,0.16420582711457743,1,0.46678915057292913,Medium-Low Risk,Medium-High
AG097,Agent 97,25,43,54,26,12,2.5444378968071293,1.5893291762119648,2.420319146604847,0.34411328922202167,0.11659626354602148,0.9395492468409984,0.010164320225627299,1,0.4509962210881875,Medium-Low Risk,Medium-High
AG098,Agent 98,49,40,86,78,7,2.490117677369673,0.8321596818718384,2.7555628599934643,0.6435000852731929,0.5250232054164238,0.630224177768624,0.6408168432673119,1,0.4864218153713862,Medium-Low Risk,Medium-High
AG099,Agent 99,47,52,11,40,29,3.631028711803,1.2382781933962241,0.7911292389599224,0.659757852195974,0.2092445011894537,0.49344649775726046,0.7094333223965562,0,0.023064727160403975,Low Risk,High
AG100,Agent 100,30,44,26,63,8,3.702154455858653,3.492035503127095,2.138921649558906,0.8121560228759463,0.6137987641828484,0.37231487872681424,0.8680696305366971,1,0.7391487208326438,Medium-High Risk,Medium-Low
