agent_code,agent_name,agent_age,tenure_months,unique_proposal,unique_quotations,unique_customers,proposal_intensity,quotation_intensity,customer_intensity,proposal_to_quotation_ratio,customer_recency,proposal_recency,quotation_recency,is_new_agent,nill_probability,risk_segment,performance_class
AG085,Agent 85,51,34,1,57,12,3.568652439335352,2.6252701377824113,2.0848814872547736,0.6950410962453827,0.2541332954578822,0.3189139363867658,0.5087729460407078,1,0.06534719138422018,Low Risk,High
AG086,Agent 86,50,55,81,7,40,3.999438382526192,1.0275729608314625,2.615333247287238,0.4627986160134877,0.7854259690135368,0.06605271149039993,0.538845818000954,1,0.42769044028798564,Medium-Low Risk,Medium-High
AG087,Agent 87,45,49,27,5,2,0.2514034979548463,0.029626194476199075,2.486894578053458,0.13048232798949744,0.798315678082579,0.7169719717493587,0.4419844359327084,1,0.30228559235960795,Medium-Low Risk,Medium-High
AG088,Agent 88,38,52,24,78,36,1.356471056285139,2.717185782781317,0.3759291611948071,0.42553217170035906,0.5133292613749081,0.26331738285574025,0.5747351373822482,1,0.688586135880231,Medium-High Risk,Medium-Low
AG089,Agent 89,59,29,71,35,30,4.018249030883251,1.4496386757381972,0.8238194664296011,0.8019967649778562,0.7236047643028428,0.7774868271842718,0.044170957996363724,1,0.1378543152076016,Low Risk,High
AG090,Agent 90,29,46,93,72,26,0.4148440208866083,0.7839121695416673,2.9050846561001515,0.308038068331837,0.8247584451648143,0.6253109424009636,0.2997784030900962,1,0.40033861074498056,Medium-Low Risk,Medium-High
AG091,Agent 91,38,55,82,16,28,1.6696376069829504,3.1058005339488766,0.6087731236251895,0.4653263772971987,0.8246923744755114,0.7790594493697609,0.17927174287925784,0,0.4176524472996699,Medium-Low Risk,Medium-High
AG092,Agent 92,47,37,38,36,12,2.1902771891207973,0.8980481883625107,0.6242935289076449,0.7120191173209345,0.41178159414858173,0.5590960002087951,0.6764476458363903,0,0.4889477507870681,Medium-Low Risk,Medium-High
AG093,Agent 93,52,30,66,75,25,1.5850892242204813,0.8425134120804225,2.264693106577909,0.7385593465825929,0.7485203715585966,0.05878797767819122,0.09771587113494329,0,0.5595935225166941,Medium-High Risk,Medium-Low
AG094,Agent 94,26,55,35,2,30,2.52171980584613,0.731493532198463,1.8716283786670456,0.5873182197889575,0.9535799572170169,0.07108692808331529,0.8801995449163453,1,0.8688699494534158,High Risk,Low
AG095,Agent 95,54,20,59,10,7,4.0044682141223085,0.8480737976929125,2.7960026397232136,0.7058228522710034,0.433884095730908,0.6592668689837143,0.6096161530615927,0,0.5683198352004343,Medium-High Risk,Medium-Low
AG096,Agent 96,25,15,86,18,40,2.586997355046919,3.3116794483071295,2.734108410214648,0.35969209151413983,0.7406773950757893,0.79341876464272,0.7765685110017967,0,0.4209457760052854,Medium-Low Risk,Medium-High
AG097,Agent 97,29,51,7,52,22,4.98991802402145,0.5000699134998556,2.1215145708415335,0.9048600248251318,0.8567524089005925,0.3618004265112619,0.8852471242103543,0,0.3685561474309931,Medium-Low Risk,Medium-High
AG098,Agent 98,39,29,46,35,5,1.956614206909986,0.7543139815951654,0.006263147852602957,0.22376899195988964,0.8405168327398198,0.12064302101975288,0.9240476578734315,0,0.6033408271911349,Medium-High Risk,Medium-Low
AG099,Agent 99,56,29,95,2,3,3.5243303015095746,1.0836934496941368,1.9530255614271512,0.8402838952558627,0.6118330911061735,0.6100991738349506,0.600481845485987,1,0.8595520805942964,High Risk,Low
AG100,Agent 100,44,56,54,56,26,2.7826193521379134,3.7122347280045807,2.7627416162039022,0.939012113865299,0.3694669496509452,0.9151362329793369,0.4199334210902602,1,0.45871564293134615,Medium-Low Risk,Medium-High
